##Futura
google.com, pub-9870906254578438, DIRECT, f08c47fec0942fa0
google.com, pub-4050932021375216, DIRECT, f08c47fec0942fa0


##teads
teads.tv, 10814, DIRECT, 15a9c44f6d26cbe1


##outbrain
outbrain.com, 00bd44d0de7aa1b8f7f2897b3c7196e861, DIRECT
dailymotion.com, 644210, RESELLER # video
dailymotion.com, 644226, RESELLER # video
dailymotion.com, 644242, RESELLER # video
dailymotion.com, 644258, RESELLER # video
dailymotion.com, 644274, RESELLER # video
dailymotion.com, 644290, RESELLER # video
dailymotion.com, 644306, RESELLER # video
dailymotion.com, 644322, RESELLER # video
dailymotion.com, 644338, RESELLER # video
dailymotion.com, 644354, RESELLER # video
dailymotion.com, 644370, RESELLER # video
dailymotion.com, 644386, RESELLER # video
dailymotion.com, 644402, RESELLER # video
dailymotion.com, 644418, RESELLER # video
dailymotion.com, 644434, RESELLER # video
dailymotion.com, 644450, RESELLER # video
dailymotion.com, 644466, RESELLER # video
dailymotion.com, 644482, RESELLER # video
dailymotion.com, 644498, RESELLER # video
dailymotion.com, 732722, RESELLER # video
dailymotion.com, 321361, RESELLER # video
dailymotion.com, 321377, RESELLER # video
dailymotion.com, 321393, RESELLER # video
dailymotion.com, 321409, RESELLER # video
dailymotion.com, 321425, RESELLER # video
dailymotion.com, 321441, RESELLER # video
dailymotion.com, 321457, RESELLER # video
dailymotion.com, 321473, RESELLER # video
dailymotion.com, 321489, RESELLER # video
dailymotion.com, 321505, RESELLER # video
dailymotion.com, 321521, RESELLER # video
dailymotion.com, 321537, RESELLER # video
dailymotion.com, 321553, RESELLER # video
dailymotion.com, 321569, RESELLER # video
dailymotion.com, 321585, RESELLER # video
dailymotion.com, 321601, RESELLER # video
dailymotion.com, 321617, RESELLER # video
dailymotion.com, 321633, RESELLER # video
dailymotion.com, 321649, RESELLER # video
dailymotion.com, 321665, RESELLER # video
dailymotion.com, 321681, RESELLER # video
dailymotion.com, 321697, RESELLER # video
dailymotion.com, 321713, RESELLER # video
dailymotion.com, 321729, RESELLER # video
dailymotion.com, 321745, RESELLER # video
dailymotion.com, 644514, RESELLER # video
dailymotion.com, 644530, RESELLER # video
dailymotion.com, 644546, RESELLER # video
dailymotion.com, 644562, RESELLER # video
dailymotion.com, 644578, RESELLER # video
dailymotion.com, 644594, RESELLER # video
dailymotion.com, 644610, RESELLER # video
dailymotion.com, 644626, RESELLER # video
dailymotion.com, 644642, RESELLER # video
dailymotion.com, 644658, RESELLER # video
dailymotion.com, 644674, RESELLER # video
dailymotion.com, 644690, RESELLER # video
dailymotion.com, 644706, RESELLER # video
dailymotion.com, 644722, RESELLER # video
dailymotion.com, 644738, RESELLER # video
dailymotion.com, 644754, RESELLER # video
dailymotion.com, 644770, RESELLER # video
dailymotion.com, 644786, RESELLER # video
dailymotion.com, 644802, RESELLER # video
dailymotion.com, 732754, RESELLER # video
lkqd.net, 410, RESELLER, 59c49fa9598a0117 # video LATAM
lkqd.com, 410, RESELLER, 59c49fa9598a0117 # video LATAM
google.com, pub-8673457733281446, RESELLER, f08c47fec0942fa0


##OPTID
rubiconproject.com, 9585, RESELLER, 0bfd66d529a55807
appnexus.com, 1608, RESELLER, f5ab79cb980f11d1
appnexus.com, 3500, RESELLER, f5ab79cb980f11d1
appnexus.com, 8494, RESELLER, f5ab79cb980f11d1
indexexchange.com, 187149, RESELLER, 50b1c356f2c5c8fc
rubiconproject.com, 20336, RESELLER, 0bfd66d529a55807
teads.tv, 18514, DIRECT, 15a9c44f6d26cbe1


## SublimeSkinz Network 2019-05-06
smartadserver.com, 1827, RESELLER
improvedigital.com, 335, RESELLER
appnexus.com, 3538, RESELLER
appnexus.com, 3539, RESELLER
appnexus.com, 3540, RESELLER
freewheel.tv, 67513, RESELLER
smartadserver.com, 3379, DIRECT

##UAM
aps.amazon.com, 24993060-40a4-4188-9508-20dc1c9f0877, DIRECT

##digiteka
#SSP
spotxchange.com, 169199, RESELLER, 7842df1d2fe2db34
spotx.tv, 169199, RESELLER, 7842df1d2fe2db34
tremorhub.com, vfgfc-fw5bo, RESELLER, 1a4e959a1b50034a
google.com, pub-7026431251527825, RESELLER, f08c47fec0942fa0
google.com, pub-5549723401598621, DIRECT, f08c47fec0942fa0
rubiconproject.com, 15646, RESELLER, 0bfd66d529a55807
improvedigital.com, 1139, RESELLER

#SSP FREEWHEEL DIGITEKA FR
freewheel.tv, 1867, RESELLER #NEWS
freewheel.tv, 1929, RESELLER #CULTURE
freewheel.tv, 1931, RESELLER #FEMMES
freewheel.tv, 1933, RESELLER #VOYAGES LIFESTYLE
freewheel.tv, 133681, RESELLER #SPORT
freewheel.tv, 133777, RESELLER #AUTO
freewheel.tv, 784225, RESELLER #P3
freewheel.tv, 888513, RESELLER #DAT

#SSP FREEWHEEL FR OX
freewheel.tv, 9262, RESELLER
freewheel.tv, 109361, RESELLER
freewheel.tv, 9264, RESELLER
freewheel.tv, 109369, RESELLER
freewheel.tv, 9266, RESELLER
freewheel.tv, 109377, RESELLER
freewheel.tv, 9268, RESELLER
freewheel.tv, 109385, RESELLER
freewheel.tv, 9270, RESELLER
freewheel.tv, 109393, RESELLER
freewheel.tv, 9272, RESELLER
freewheel.tv, 109401, RESELLER
freewheel.tv, 133689, RESELLER
freewheel.tv, 133785, RESELLER
freewheel.tv, 156121, RESELLER
freewheel.tv, 504369, RESELLER
freewheel.tv, 784241, RESELLER
freewheel.tv, 888609, RESELLER

#OVERVIEWS
freewheel.tv, 1069, RESELLER
freewheel.tv, 5649, RESELLER

#ADUX
freewheel.tv, 85425, RESELLER
freewheel.tv, 85433, RESELLER
freewheel.tv, 131977, RESELLER

#SSP BELGIQUE
freewheel.tv, 278866, RESELLER
freewheel.tv, 278882, RESELLER
google.com, pub-2468262778002506, RESELLER, f08c47fec0942fa0
freewheel.tv, 175897, RESELLER

#IC
appnexus.com, 2579, RESELLER #native
quantum-advertising.com, 2935, RESELLER #native
appnexus.com, 10653 DIRECT #native
appnexus.com, 884,RESELLER
improvedigital.com, 1220, RESELLER

#SSP FREEWHEEL DIGITEKA ES
freewheel.tv, 154545, RESELLER #NEWS
freewheel.tv, 154553, RESELLER #SPORT
freewheel.tv, 154569, RESELLER #TRAVEL
freewheel.tv, 154577, RESELLER #WOMEN
freewheel.tv, 154593, RESELLER #BUSINESS
freewheel.tv, 154609, RESELLER #CULTURE
freewheel.tv, 195953, RESELLER #GROUPO
freewheel.tv, 218722, RESELLER #DEAL

#SSP FREEWHEEL ES OX
freewheel.tv, 197865, RESELLER
