#Exchange,Seller Account ID,Type of Account (Direct or Reseller),TAG
ID (optional)
#GOOGLE ADX
taboola.com,1265665,DIRECT,c228e6794e811952
taboola.com,1265666,DIRECT,c228e6794e811952
taboola.com,1265667,DIRECT,c228e6794e811952
taboola.com,1265668,DIRECT,c228e6794e811952
taboola.com,1265669,DIRECT,c228e6794e811952
taboola.com,1265670,DIRECT,c228e6794e811952
taboola.com,1265671,DIRECT,c228e6794e811952
taboola.com,1265672,DIRECT,c228e6794e811952
taboola.com,1265673,DIRECT,c228e6794e811952
taboola.com,1265674,DIRECT,c228e6794e811952
taboola.com,1265675,DIRECT,c228e6794e811952
taboola.com,1265676,DIRECT,c228e6794e811952
taboola.com,1265677,DIRECT,c228e6794e811952
taboola.com,1265678,DIRECT,c228e6794e811952
taboola.com,1265679,DIRECT,c228e6794e811952
taboola.com,1265680,DIRECT,c228e6794e811952
taboola.com,1265681,DIRECT,c228e6794e811952
taboola.com,1265682,DIRECT,c228e6794e811952
taboola.com,1265683,DIRECT,c228e6794e811952
taboola.com,1265684,DIRECT,c228e6794e811952
taboola.com,1265685,DIRECT,c228e6794e811952
taboola.com,1265686,DIRECT,c228e6794e811952
taboola.com,1265687,DIRECT,c228e6794e811952
taboola.com,1265688,DIRECT,c228e6794e811952

taboola.com,1265689,DIRECT,c228e6794e811952
taboola.com,1265690,DIRECT,c228e6794e811952
taboola.com,1265691,DIRECT,c228e6794e811952
taboola.com,1265692,DIRECT,c228e6794e811952
taboola.com,1265693,DIRECT,c228e6794e811952
taboola.com,1265694,DIRECT,c228e6794e811952
taboola.com,1265695,DIRECT,c228e6794e811952
taboola.com,1265696,DIRECT,c228e6794e811952
taboola.com,1265697,DIRECT,c228e6794e811952
taboola.com,1265698,DIRECT,c228e6794e811952
taboola.com,1265699,DIRECT,c228e6794e811952
taboola.com,1265700,DIRECT,c228e6794e811952
taboola.com,1265701,DIRECT,c228e6794e811952
taboola.com,1265702,DIRECT,c228e6794e811952
taboola.com,1265703,DIRECT,c228e6794e811952
taboola.com,1265704,DIRECT,c228e6794e811952
taboola.com,1265705,DIRECT,c228e6794e811952
taboola.com,1265706,DIRECT,c228e6794e811952
taboola.com,1265707,DIRECT,c228e6794e811952
taboola.com,1265708,DIRECT,c228e6794e811952
taboola.com,1265709,DIRECT,c228e6794e811952
taboola.com,1265710,DIRECT,c228e6794e811952
taboola.com,1265711,DIRECT,c228e6794e811952
taboola.com,1265712,DIRECT,c228e6794e811952
taboola.com,1265713,DIRECT,c228e6794e811952
taboola.com,1265714,DIRECT,c228e6794e811952
taboola.com,1265715,DIRECT,c228e6794e811952
taboola.com,1265716,DIRECT,c228e6794e811952
taboola.com,1265717,DIRECT,c228e6794e811952
taboola.com,1265718,DIRECT,c228e6794e811952
taboola.com,1265719,DIRECT,c228e6794e811952
taboola.com,1265720,DIRECT,c228e6794e811952
taboola.com,1265721,DIRECT,c228e6794e811952
taboola.com,1265722,DIRECT,c228e6794e811952
taboola.com,1265723,DIRECT,c228e6794e811952
taboola.com,1265724,DIRECT,c228e6794e811952
taboola.com,1265725,DIRECT,c228e6794e811952
taboola.com,1265726,DIRECT,c228e6794e811952
taboola.com,1265727,DIRECT,c228e6794e811952
taboola.com,1265728,DIRECT,c228e6794e811952
taboola.com,1265729,DIRECT,c228e6794e811952
taboola.com,1265730,DIRECT,c228e6794e811952
taboola.com,1265731,DIRECT,c228e6794e811952
taboola.com,1265732,DIRECT,c228e6794e811952
taboola.com,1265733,DIRECT,c228e6794e811952
taboola.com,1265734,DIRECT,c228e6794e811952
taboola.com,1265735,DIRECT,c228e6794e811952
taboola.com,1265736,DIRECT,c228e6794e811952
taboola.com,1265737,DIRECT,c228e6794e811952
taboola.com,1265738,DIRECT,c228e6794e811952
taboola.com,1265739,DIRECT,c228e6794e811952
taboola.com,1265740,DIRECT,c228e6794e811952
taboola.com,1265741,DIRECT,c228e6794e811952
taboola.com,1265742,DIRECT,c228e6794e811952
taboola.com,1265743,DIRECT,c228e6794e811952
taboola.com,1265744,DIRECT,c228e6794e811952
taboola.com,1265745,DIRECT,c228e6794e811952

taboola.com,1265746,DIRECT,c228e6794e811952
taboola.com,1265747,DIRECT,c228e6794e811952
taboola.com,1265748,DIRECT,c228e6794e811952
taboola.com,1265749,DIRECT,c228e6794e811952
taboola.com,1265750,DIRECT,c228e6794e811952
taboola.com,1265751,DIRECT,c228e6794e811952
taboola.com,1265752,DIRECT,c228e6794e811952
taboola.com,1265753,DIRECT,c228e6794e811952
taboola.com,1265754,DIRECT,c228e6794e811952
taboola.com,1265755,DIRECT,c228e6794e811952
taboola.com,1265756,DIRECT,c228e6794e811952
taboola.com,1265757,DIRECT,c228e6794e811952
taboola.com,1265758,DIRECT,c228e6794e811952
taboola.com,1265759,DIRECT,c228e6794e811952
taboola.com,1265760,DIRECT,c228e6794e811952
taboola.com,1265761,DIRECT,c228e6794e811952
taboola.com,1265762,DIRECT,c228e6794e811952
taboola.com,1265763,DIRECT,c228e6794e811952
taboola.com,1265764,DIRECT,c228e6794e811952
taboola.com,1265765,DIRECT,c228e6794e811952
taboola.com,1265766,DIRECT,c228e6794e811952
taboola.com,1265767,DIRECT,c228e6794e811952
taboola.com,1265768,DIRECT,c228e6794e811952
taboola.com,1265769,DIRECT,c228e6794e811952
taboola.com,1265770,DIRECT,c228e6794e811952
taboola.com,1265771,DIRECT,c228e6794e811952
taboola.com,1265772,DIRECT,c228e6794e811952
taboola.com,1265773,DIRECT,c228e6794e811952
taboola.com,1265774,DIRECT,c228e6794e811952
taboola.com,1265775,DIRECT,c228e6794e811952
taboola.com,1265776,DIRECT,c228e6794e811952
taboola.com,1265777,DIRECT,c228e6794e811952
taboola.com,1265778,DIRECT,c228e6794e811952
taboola.com,1265779,DIRECT,c228e6794e811952
taboola.com,1265780,DIRECT,c228e6794e811952
taboola.com,1265781,DIRECT,c228e6794e811952
taboola.com,1265782,DIRECT,c228e6794e811952
taboola.com,1265783,DIRECT,c228e6794e811952
taboola.com,1265784,DIRECT,c228e6794e811952
taboola.com,1265785,DIRECT,c228e6794e811952
taboola.com,1265786,DIRECT,c228e6794e811952
taboola.com,1265787,DIRECT,c228e6794e811952
taboola.com,1265788,DIRECT,c228e6794e811952
taboola.com,1265789,DIRECT,c228e6794e811952
taboola.com,1265790,DIRECT,c228e6794e811952
taboola.com,1265791,DIRECT,c228e6794e811952
taboola.com,1265792,DIRECT,c228e6794e811952
taboola.com,1265793,DIRECT,c228e6794e811952
taboola.com,1265794,DIRECT,c228e6794e811952
taboola.com,1265795,DIRECT,c228e6794e811952
taboola.com,1265796,DIRECT,c228e6794e811952
taboola.com,1265797,DIRECT,c228e6794e811952
taboola.com,1265798,DIRECT,c228e6794e811952
taboola.com,1265799,DIRECT,c228e6794e811952
taboola.com,1265800,DIRECT,c228e6794e811952
taboola.com,1265801,DIRECT,c228e6794e811952
taboola.com,1265802,DIRECT,c228e6794e811952

taboola.com,1265803,DIRECT,c228e6794e811952
taboola.com,1265804,DIRECT,c228e6794e811952
taboola.com,1265805,DIRECT,c228e6794e811952
taboola.com,1265806,DIRECT,c228e6794e811952
taboola.com,1265807,DIRECT,c228e6794e811952
taboola.com,1265808,DIRECT,c228e6794e811952
taboola.com,1265809,DIRECT,c228e6794e811952
taboola.com,1265810,DIRECT,c228e6794e811952
taboola.com,1265811,DIRECT,c228e6794e811952
taboola.com,1265812,DIRECT,c228e6794e811952
taboola.com,1265813,DIRECT,c228e6794e811952
taboola.com,1265814,DIRECT,c228e6794e811952
taboola.com,1265815,DIRECT,c228e6794e811952
taboola.com,1265816,DIRECT,c228e6794e811952
taboola.com,1265817,DIRECT,c228e6794e811952
taboola.com,1265818,DIRECT,c228e6794e811952
taboola.com,1265819,DIRECT,c228e6794e811952
taboola.com,1265820,DIRECT,c228e6794e811952
taboola.com,1265821,DIRECT,c228e6794e811952
taboola.com,1265822,DIRECT,c228e6794e811952
taboola.com,1265823,DIRECT,c228e6794e811952
taboola.com,1265824,DIRECT,c228e6794e811952
taboola.com,1265825,DIRECT,c228e6794e811952
taboola.com,1265826,DIRECT,c228e6794e811952
taboola.com,1265827,DIRECT,c228e6794e811952
taboola.com,1265828,DIRECT,c228e6794e811952
taboola.com,1265829,DIRECT,c228e6794e811952
taboola.com,1265830,DIRECT,c228e6794e811952
taboola.com,1265831,DIRECT,c228e6794e811952
taboola.com,1265832,DIRECT,c228e6794e811952
taboola.com,1265833,DIRECT,c228e6794e811952
taboola.com,1265834,DIRECT,c228e6794e811952
taboola.com,1265835,DIRECT,c228e6794e811952
taboola.com,1265836,DIRECT,c228e6794e811952
taboola.com,1265837,DIRECT,c228e6794e811952
taboola.com,1265838,DIRECT,c228e6794e811952
taboola.com,1265839,DIRECT,c228e6794e811952
taboola.com,1265840,DIRECT,c228e6794e811952
taboola.com,1265841,DIRECT,c228e6794e811952
taboola.com,1265842,DIRECT,c228e6794e811952
taboola.com,1265843,DIRECT,c228e6794e811952
taboola.com,1265844,DIRECT,c228e6794e811952
taboola.com,1265845,DIRECT,c228e6794e811952
taboola.com,1265846,DIRECT,c228e6794e811952
taboola.com,1265847,DIRECT,c228e6794e811952
taboola.com,1265848,DIRECT,c228e6794e811952
taboola.com,1265849,DIRECT,c228e6794e811952
taboola.com,1265850,DIRECT,c228e6794e811952
taboola.com,1265851,DIRECT,c228e6794e811952
taboola.com,1265852,DIRECT,c228e6794e811952
taboola.com,1265853,DIRECT,c228e6794e811952
taboola.com,1265854,DIRECT,c228e6794e811952
taboola.com,1265855,DIRECT,c228e6794e811952
taboola.com,1265856,DIRECT,c228e6794e811952
taboola.com,1265857,DIRECT,c228e6794e811952
taboola.com,1265858,DIRECT,c228e6794e811952
taboola.com,1265859,DIRECT,c228e6794e811952

taboola.com,1265860,DIRECT,c228e6794e811952
taboola.com,1265861,DIRECT,c228e6794e811952
taboola.com,1265862,DIRECT,c228e6794e811952
taboola.com,1265863,DIRECT,c228e6794e811952
taboola.com,1265864,DIRECT,c228e6794e811952
taboola.com,1265866,DIRECT,c228e6794e811952
taboola.com,1265867,DIRECT,c228e6794e811952
taboola.com,1265868,DIRECT,c228e6794e811952
taboola.com,1265869,DIRECT,c228e6794e811952
taboola.com,1265870,DIRECT,c228e6794e811952
taboola.com,1265871,DIRECT,c228e6794e811952
taboola.com,1265872,DIRECT,c228e6794e811952
taboola.com,1265873,DIRECT,c228e6794e811952
taboola.com,1265874,DIRECT,c228e6794e811952
taboola.com,1265875,DIRECT,c228e6794e811952
taboola.com,1265876,DIRECT,c228e6794e811952
taboola.com, 1270843,DIRECT,c228e6794e811952
taboola.com, 1270844,DIRECT,c228e6794e811952
taboola.com, 1270845,DIRECT,c228e6794e811952
spotx.tv,71451,RESELLER
spotxchange.com, 71451, RESELLER
advertising.com, 8603, RESELLER
pubmatic.com, 156307, RESELLER, 5d62403b186f2ace
appnexus.com, 3364, RESELLER
Indexexchange.com, 183756, RESELLER
contextweb.com, 560382, RESELLER
openx.com, 539154393, RESELLER
tremorhub.com, z87wm, RESELLER, 1a4e959a1b50034a
rubiconproject.com, 16698, RESELLER, 0bfd66d529a55807
freewheel.tv, 799841, RESELLER
freewheel.tv, 799921, RESELLER
aol.com, 53392, RESELLER
rhythmone.com, 1166984029, RESELLER, a670c89d4a324e47
smartadserver.com, 3563, RESELLER
beachfront.com, 13749, RESELLER, e2541279e8e2ca4d
advertising.com, 28458, RESELLER
admanmedia.com, 556, RESELLER

#OPENX
openx.com,539819088,DIRECT,6a698e2ec38604c6
openx.com,539363595,DIRECT,6a698e2ec38604c6
openx.com, 540461923, DIRECT, 6a698e2ec38604c6

#RevContent
revcontent.com,24728,DIRECT
appnexus.com,7666,RESELLER,f5ab79cb980f11d1
rubiconproject.com,156042,RESELLER,0bfd66d529a55807
teads.tv,15898,DIRECT,15a9c44f6d26cbe1
#Sovrn
sovrn.com, 246298, DIRECT, fafdf38b16bf6b2b
lijit.com, 246298, DIRECT, fafdf38b16bf6b2b
lijit.com, 246298-eb, DIRECT, fafdf38b16bf6b2b

#Triton Digital audio
tritondigital.com, 25023, DIRECT, 19b4454d0b87b58b
#NATIVO
nativo.com, 5042, DIRECT, 59521ca7cc5e9fee
nativo.com, 5043, DIRECT, 59521ca7cc5e9fee
nativo.com, 2326, DIRECT, 59521ca7cc5e9fee
nativo.com, 5041, DIRECT, 59521ca7cc5e9fee
33across.com, 0010b00002OCUmCAAX, RESELLER, bbea06d9c4d2853c
appnexus.com, 8035, RESELLER, f5ab79cb980f11d1
districtm.io, 101810, RESELLER, 3fd707be9c4527c3
indexexchange.com, 190025, RESELLER
lkqd.net, 519, RESELLER, 59c49fa9598a0117
openx.com, 540709535, RESELLER, 6a698e2ec38604c6
pubmatic.com, 156500, RESELLER, 5d62403b186f2ace
rubiconproject.com, 16156, RESELLER, 0bfd66d529a55807
spotx.tv, 150015, RESELLER, 7842df1d2fe2db34
spotxchange.com, 150015, RESELLER, 7842df1d2fe2db34
#NATIVO - Programmatic
advertising.com, 3679, RESELLER
advertising.com, 5831, RESELLER
advertising.com, 8044, RESELLER
advertising.com, 8022, RESELLER
freewheel.tv, 713154, RESELLER
freewheel.tv, 215570, RESELLER
freewheel.tv, 215602, RESELLER
freewheel.tv, 470113, RESELLER
freewheel.tv, 470145, RESELLER
freewheel.tv, 470129, RESELLER
freewheel.tv, 470161, RESELLER
freewheel.tv, 717186, RESELLER
google.com, pub-1301581561755234, RESELLER, f08c47fec0942fa0
google.com, pub-4177862836555934, RESELLER, f08c47fec0942fa0
google.com, pub-1991679624331369, RESELLER, f08c47fec0942fa0
google.com, pub-3015538794163384, RESELLER, f08c47fec0942fa0
