# Lagardere Publicite > ParisMatch.com

# verification par https://adstxt.adnxs.com, le 21/05/2019

#

appnexus.com, 4013, DIRECT, f5ab79cb980f11d1			# Lagardere Publicite
pubmatic.com, 156431, RESELLER, 5d62403b186f2ace		# Pebble Media Belgique

#

smartadserver.com, 886, RESELLER 				# Romandie Network Suisse

#

adstanding.com, 2500, direct					# Atedra.com Canada


adstanding.com, 2610, direct					# Atedra.com Canada


adstanding.com, 2611, direct					# Atedra.com Canada


adstanding.com, 2615, direct					# Atedra.com Canada


adstanding.com, 2616, direct					# Atedra.com Canada


adstanding.com, 2617, direct					# Atedra.com Canada


adstanding.com, 2618, direct					# Atedra.com Canada


adstanding.com, 2619, direct					# Atedra.com Canada


adstanding.com, 2620, direct					# Atedra.com Canada


adstanding.com, 2621, direct					# Atedra.com Canada


adstanding.com, 2622, direct					# Atedra.com Canada


adstanding.com, 2623, direct					# Atedra.com Canada


adstanding.com, 2624, direct					# Atedra.com Canada


adstanding.com, 2625, direct					# Atedra.com Canada


adstanding.com, 2626, direct					# Atedra.com Canada


adstanding.com, 2627, direct					# Atedra.com Canada


adstanding.com, 2628, direct					# Atedra.com Canada


adstanding.com, 2629, direct					# Atedra.com Canada


adstanding.com, 2630, direct					# Atedra.com Canada


adstanding.com, 2631, direct					# Atedra.com Canada

adstanding.com, 2632, direct					# Atedra.com Canada


adstanding.com, 2633, direct					# Atedra.com Canada

adstanding.com, 2634, direct					# Atedra.com Canada

adstanding.com, 2635, direct					# Atedra.com Canada


adstanding.com, 2636, direct					# Atedra.com Canada


adstanding.com, 2637, direct					# Atedra.com Canada


adstanding.com, 2638, direct					# Atedra.com Canada


adstanding.com, 2639, direct					# Atedra.com Canada


adstanding.com, 2640, direct					# Atedra.com Canada


adstanding.com, 2673, direct					# Atedra.com Canada


adstanding.com, 2674, direct					# Atedra.com Canada


adstanding.com, 2675, direct					# Atedra.com Canada


adstanding.com, 2676, direct					# Atedra.com Canada

#

appnexus.com, 2500, direct


appnexus.com, 2610, direct


appnexus.com, 2611, direct


appnexus.com, 2615, direct


appnexus.com, 2616, direct


appnexus.com, 2617, direct


appnexus.com, 2618, direct


appnexus.com, 2619, direct


appnexus.com, 2620, direct


appnexus.com, 2621, direct


appnexus.com, 2622, direct


appnexus.com, 2623, direct


appnexus.com, 2624, direct


appnexus.com, 2625, direct


appnexus.com, 2626, direct


appnexus.com, 2627, direct


appnexus.com, 2628, direct


appnexus.com, 2629, direct


appnexus.com, 2630, direct


appnexus.com, 2631, direct


appnexus.com, 2632, direct


appnexus.com, 2633, direct


appnexus.com, 2634, direct


appnexus.com, 2635, direct


appnexus.com, 2636, direct


appnexus.com, 2637, direct


appnexus.com, 2638, direct


appnexus.com, 2639, direct


appnexus.com, 2640, direct


appnexus.com, 2673, direct


appnexus.com, 2674, direct


appnexus.com, 2675, direct


appnexus.com, 2676, direct


google.com, pub-2236218997769327, RESELLER, f08c47fec0942fa0


sekindo.com, 19712, DIRECT, b6b21d256ef43532

#

#Seedtag FR

seedtag.com,4471-7946-01, DIRECT #ST0

appnexus.com, 4009, RESELLER #ST1

smartadserver.com, 3051, RESELLER #ST1

smartadserver.com, 3050, RESELLER #ST1

rubiconproject.com, 17280, DIRECT, 0bfd66d529a55807 #ST1

smartadserver.com, 2699, RESELLER #ST2

smartadserver.com, 2938, RESELLER #ST2

contextweb.com,560288,RESELLER,89ff185a4c4e857c #ST2

indexexchange.com,179394,RESELLER,50b1c356f2c5c8fc #ST2

richaudience.com, ns9qrKJLKD, DIRECT #ST2

advertising.com, 23286, RESELLER  #ST2

freewheel.tv, 595393, RESELLER #ST2

freewheel.tv, 595377, RESELLER #ST2

tremorhub.com, s2t3y-r3ofd, RESELLER, 1a4e959a1b50034a #ST2

adform.com, 1942, DIRECT #ST3

advertising.com, 7574, DIRECT #ST3

aerserv.com, 2750, RESELLER, 2ce496b9f80eb9fa #ST3

aolcloud.net, 4687, RESELLER #ST3

mobfox.com, 74240, RESELLER #ST3

openx.com, 539625136, RESELLER #ST3

pubmatic.com, 156538, DIRECT, 5d62403b186f2ace #ST3

rubiconproject.com, 13510, DIRECT #ST3

smaato.com, 1100037086, RESELLER #ST3

spotx.tv, 173175, DIRECT #ST3

spotxchange.com, 173175, DIRECT #ST3

#

# MoneyTag > https://tools.moneytag.fr/ads/sites/97

#

adyoulike.com, 4506651901d02d97be2bcfbefae279b8, RESELLER 

gumgum.com, 13039, DIRECT, ffdef49475d318a9 

rubiconproject.com, 10027, RESELLER, 0bfd66d529a55807

google.com, pub-6228005252642587, RESELLER, f08c47fec0942fa0

spotxchange.com, 142042, RESELLER,7842df1d2fe2db34

spotx.tv, 142042, RESELLER,7842df1d2fe2db34

pubmatic.com, 156431, RESELLER, 5d62403b186f2ace

improvedigital.com, 1005, RESELLER

improvedigital.com, 1067, RESELLER

rubiconproject.com, 208016, RESELLER, 0bfd66d529a55807

rubiconproject.com, 17204, RESELLER, 0bfd66d529a55807

spotxchange.com, 228597, RESELLER,7842df1d2fe2db34

spotx.tv, 228597, RESELLER,7842df1d2fe2db34

#

appnexus.com, 2579, RESELLER

quantum-advertising.com, 743, RESELLER 

google.com, pub-0942427266003794, RESELLER, f08c47fec0942fa0

indexexchange.com, 184315, RESELLER, 50b1c356f2c5c8fc

indexexchange.com, 182960, RESELLER, 50b1c356f2c5c8fc

indexexchange.com, 181202, RESELLER, 50b1c356f2c5c8fc

indexexchange.com, 184601, RESELLER, 50b1c356f2c5c8fc 

smartadserver.com, 886, RESELLER

appnexus.com, 3927, RESELLER

adtech.com, 1135.1, RESELLER

aolcloud.net, 1135.1, RESELLER

teads.tv, 2727, DIRECT, 15a9c44f6d26cbe1

teads.tv, 9965, DIRECT, 15a9c44f6d26cbe1

#

freeskreen.com, 176, DIRECT, fe119a6acfd19070

slimcut.media, 176, DIRECT, fe119a6acfd19070

indexexchange.com, 184088, RESELLER, 50b1c356f2c5c8fc

Freewheel.tv, 294897, RESELLER

freewheel.tv, 805, RESELLER

freewheel.tv, 5553, RESELLER

freewheel.tv, 294961, RESELLER

smartadserver.com,1772,RESELLER

contextweb.com,560288,RESELLER,89ff185a4c4e857c

pubmatic.com,156439,RESELLER

pubmatic.com,154037,RESELLER

rubiconproject.com,16114,RESELLER,0bfd66d529a55807

openx.com,537149888,RESELLER,6a698e2ec38604c6

sovrn.com,257611,RESELLER,fafdf38b16bf6b2b

appnexus.com,3703,RESELLER,f5ab79cb980f11d1 

taboola.com,1003096,DIRECT,c228e6794e811952 

taboola.com,1003096,RESELLER,c228e6794e811952

spotx.tv,71451,RESELLER 

spotxchange.com, 71451, RESELLER

advertising.com, 8603, RESELLER

pubmatic.com, 156307, RESELLER, 5d62403b186f2ace

appnexus.com, 3364, RESELLER 

Indexexchange.com, 183756, RESELLER

contextweb.com, 560382, RESELLER 

tremorhub.com, z87wm, RESELLER, 1a4e959a1b50034a 

rubiconproject.com, 16698, RESELLER, 0bfd66d529a55807

fyber.com, ad9de41d28d494354b23133f26f83122, RESELLER 

fyber.com, 1a12a7e3f84fe560ccf95a3a73043abb, RESELLER

# Teads > 07/02/2019

teads.tv, 11739, DIRECT, 15a9c44f6d26cbe1

# DFP > 13/02/2019

google.com, pub-7214319858737759, DIRECT, f08c47fec0942fa0

# MSQ > 01/03/2019

rubiconproject.com, 9585, RESELLER, 0bfd66d529a55807

appnexus.com, 1608, RESELLER, f5ab79cb980f11d1

appnexus.com, 8494, RESELLER, f5ab79cb980f11d1

spotxchange.com, 241646, RESELLER, 7842df1d2fe2db34

spotx.tv, 241646, RESELLER, 7842df1d2fe2db34

indexexchange.com, 187149, RESELLER

# EOF LP

# Digiteka > 17/04/2019

#SSP
spotxchange.com, 169199, RESELLER, 7842df1d2fe2db34
spotx.tv, 169199, RESELLER, 7842df1d2fe2db34
tremorhub.com, vfgfc-fw5bo, RESELLER, 1a4e959a1b50034a
google.com, pub-7026431251527825, RESELLER, f08c47fec0942fa0
google.com, pub-5549723401598621, DIRECT, f08c47fec0942fa0
rubiconproject.com, 15646, RESELLER, 0bfd66d529a55807
improvedigital.com, 1139, RESELLER
#SSP FREEWHEEL DIGITEKA FR
freewheel.tv, 1867, RESELLER #NEWS
freewheel.tv, 1929, RESELLER #CULTURE
freewheel.tv, 1931, RESELLER #FEMMES
freewheel.tv, 1933, RESELLER #VOYAGES LIFESTYLE
freewheel.tv, 133681, RESELLER #SPORT
freewheel.tv, 133777, RESELLER #AUTO
freewheel.tv, 784225, RESELLER #P3
freewheel.tv, 888513, RESELLER #DAT
#SSP FREEWHEEL FR OX
freewheel.tv, 9262, RESELLER
freewheel.tv, 109361, RESELLER
freewheel.tv, 9264, RESELLER
freewheel.tv, 109369, RESELLER
freewheel.tv, 9266, RESELLER
freewheel.tv, 109377, RESELLER
freewheel.tv, 9268, RESELLER
freewheel.tv, 109385, RESELLER
freewheel.tv, 9270, RESELLER
freewheel.tv, 109393, RESELLER
freewheel.tv, 9272, RESELLER
freewheel.tv, 109401, RESELLER
freewheel.tv, 133689, RESELLER
freewheel.tv, 133785, RESELLER
freewheel.tv, 156121, RESELLER
#OVERVIEWS
freewheel.tv, 1069, RESELLER
freewheel.tv, 5649, RESELLER
#ADUX
freewheel.tv, 85425, RESELLER
freewheel.tv, 85433, RESELLER
freewheel.tv, 131977, RESELLER
#SSP BELGIQUE
freewheel.tv, 278866, RESELLER
freewheel.tv, 278882, RESELLER
google.com, pub-2468262778002506, RESELLER, f08c47fec0942fa0
freewheel.tv, 175897, RESELLER
#IC
appnexus.com, 2579, RESELLER #native
quantum-advertising.com, 2935, RESELLER #native
#---------------- DIGITEKA ES/MX ------------------#
#SSP FREEWHEEL DIGITEKA ES
freewheel.tv, 154545, RESELLER #NEWS
freewheel.tv, 154553, RESELLER #SPORT
freewheel.tv, 154569, RESELLER #TRAVEL
freewheel.tv, 154577, RESELLER #WOMEN
freewheel.tv, 154593, RESELLER #BUSINESS
freewheel.tv, 154609, RESELLER #CULTURE
freewheel.tv, 195953, RESELLER #GROUPO
freewheel.tv, 218722, RESELLER #DEAL
#SSP FREEWHEEL ES OX
freewheel.tv, 197865, RESELLER
freewheel.tv, 197873, RESELLER
freewheel.tv, 197889, RESELLER
freewheel.tv, 197897, RESELLER
freewheel.tv, 197913, RESELLER
freewheel.tv, 197929, RESELLER
freewheel.tv, 197961, RESELLER
freewheel.tv, 218730, RESELLER
#SSP FREEWHEEL DIGITEKA MX
freewheel.tv, 198353, RESELLER #CULTURE
freewheel.tv, 198369, RESELLER #LIFESTYLE
freewheel.tv, 198385, RESELLER #NEWS
#SSP FREEWHEEL MX OX
freewheel.tv, 199049, RESELLER
freewheel.tv, 199065, RESELLER
freewheel.tv, 199081, RESELLER

# AdSense > 17/04/2019

google.com, pub-8725965869999561, DIRECT, f08c47fec0942fa0

#SeedTag 21/05/2019

google.com, pub-2859204820585993, DIRECT, f08c47fec0942fa0
#MoneyTag > 29/08
adyoulike.com, 4506651901d02d97be2bcfbefae279b8, DIRECT, 4ad745ead2958bf7
adyoulike.com, 4506651901d02d97be2bcfbefae279b8, RESELLER, 4ad745ead2958bf7
appnexus.com, 1908, RESELLER, f5ab79cb980f11d1
appnexus.com, 3703, RESELLER, f5ab79cb980f11d1
appnexus.com, 6925, DIRECT
appnexus.com, 884, RESELLER
contextweb.com, 560288, RESELLER, 89ff185a4c4e857c
districtm.io, 100334, DIRECT, 3fd707be9c4527c3
districtm.io, 101760, RESELLER, 3fd707be9c4527c3
freewheel.tv, 745362, RESELLER
freewheel.tv, 745378, RESELLER
google.com, pub-0942427266003794, RESELLER, f08c47fec0942fa0
google.com, pub-2163792983970113, DIRECT, f08c47fec0942fa0
groundtruth.com, 107, RESELLER, 81cbf0a75a5e0e9a
improvedigital.com, 1102, RESELLER
indexexchange.com, 181202, RESELLER, 50b1c356f2c5c8fc
indexexchange.com, 182960, RESELLER, 50b1c356f2c5c8fc
indexexchange.com, 184315, RESELLER, 50b1c356f2c5c8fc
indexexchange.com, 184601, RESELLER, 50b1c356f2c5c8fc
loopme.com, 5679, RESELLER, 6c8d5f95897a5a3b
loopme.com, s-2411, RESELLER, 6c8d5f95897a5a3b
openx.com, 537149888, RESELLER, 6a698e2ec38604c6
pubmatic.com, 154037, RESELLER
pubmatic.com, 156030, RESELLER, 5d62403b186f2ace
pubmatic.com, 156439, RESELLER
pubmatic.com,156631,RESELLER,5d62403b186f2ace
rhythmone.com,1767353092,RESELLER,a670c89d4a324e47
rubiconproject.com, 13132, RESELLER, 0bfd66d529a55807
rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807
smartadserver.com, 2900, DIRECT
smartadserver.com, 2900, RESELLER
sovrn.com,257611,RESELLER,fafdf38b16bf6b2b
spotx.tv, 230037, RESELLER, 7842df1d2fe2db34
spotxchange.com, 230037, RESELLER, 7842df1d2fe2db34
tremorhub.com, ewut4-b6zwq, RESELLER, 1a4e959a1b50034a
adform.com, 183, RESELLER
adyoulike.com, 662483e9c6600a0e9e743273545577f2, DIRECT, 4ad745ead2958bf7
admixer.net, d2a81185-2f98-4a5d-82b0-746defebc581, DIRECT
adtech.com, 11411, DIRECT
adtech.com, 4922, DIRECT
adtech.com, 1620, DIRECT
appnexus.com, 1314, RESELLER
appnexus.com, 1360, RESELLER, f5ab79cb980f11d1
appnexus.com, 1608, RESELLER, f5ab79cb980f11d1
appnexus.com, 3500, RESELLER, f5ab79cb980f11d1
appnexus.com, 3538, RESELLER
appnexus.com, 3539, RESELLER
appnexus.com, 3540, RESELLER
appnexus.com, 3623, RESELLER
appnexus.com, 7118, RESELLER
appnexus.com, 8494, RESELLER, f5ab79cb980f11d1
contextweb.com, 558299, RESELLER, 89ff185a4c4e857c
coxmt.com, 2000067907202, RESELLER
e-planning.net,d1084ef6c4a31893,DIRECT
freewheel.tv, 33081, RESELLER
freewheel.tv, 33601, RESELLER
google.com, pub-6210713259841025, DIRECT, f08c47fec0942fa0
google.com, pub-8172268348509349, RESELLER, f08c47fec0942fa0
gumgum.com, 11645, RESELLER, ffdef49475d318a9
improvedigital.com, 335, RESELLER
improvedigital.com, 1017, RESELLER
improvedigital.com, 1269, DIRECT
improvedigital.com, 185, RESELLER
indexexchange.com, 175407, RESELLER, 50b1c356f2c5c8fc
indexexchange.com, 184665, RESELLER, 50b1c356f2c5c8fc
indexexchange.com, 187149, RESELLER
indexexchange.com,189761,DIRECT
indexexchange.com, 190243, DIRECT
lijit.com, 263700, DIRECT, fafdf38b16bf6b2b
lijit.com, 263700-eb, DIRECT, fafdf38b16bf6b2b
lkqd.net, 504, RESELLER, 59c49fa9598a0117
openx.com, 537125356, RESELLER, 6a698e2ec38604c6
openx.com, 537143344, RESELLER
openx.com, 538959099, RESELLER, 6a698e2ec38604c6
openx.com, 539835074, RESELLER, 6a698e2ec38604c6
openx.com, 539924617, RESELLER, 6a698e2ec38604c6
pubmatic.com, 137711, RESELLER, 5d62403b186f2ace
pubmatic.com, 155967, RESELLER, 5d62403b186f2ace
pubmatic.com, 156078, RESELLER, 5d62403b186f2ace
pubmatic.com, 156212, RESELLER, 5d62403b186f2ace
pubmatic.com, 156325, RESELLER, 5d62403b186f2ace
pubmatic.com, 156377, RESELLER, 5d62403b186f2ace
pubmatic.com, 156700, RESELLER, 5d62403b186f2ace
rubiconproject.com, 9585, RESELLER, 0bfd66d529a55807
rubiconproject.com, 17960, RESELLER, 0bfd66d529a55807
rubiconproject.com, 20736, RESELLER, 0bfd66d529a55807
rubiconproject.com,12186,RESELLER,0bfd66d529a55807
rubiconproject.com,16720,RESELLER,0bfd66d529a55807
smartadserver.com, 1338, RESELLER
smartadserver.com, 1827, RESELLER
smartadserver.com,3354,RESELLER
sovrn.com, 263700, DIRECT, fafdf38b16bf6b2b
spotx.tv, 108933, RESELLER, 7842df1d2fe2db34
spotx.tv, 228454, RESELLER, 7842df1d2fe2db34
spotx.tv, 241646, RESELLER, 7842df1d2fe2db34
spotxchange.com, 108933, RESELLER, 7842df1d2fe2db34
spotxchange.com, 228454, RESELLER, 7842df1d2fe2db34
spotxchange.com, 241646, RESELLER, 7842df1d2fe2db34
triplelift.com, 6907, DIRECT, 6c33edb13117fd86
#Pulpix > 17/09
adyoulike.com, 341b42fa0fd52ea27bfe2fef0c01cd9b, DIRECT, 4ad745ead2958bf7
freewheel.tv, 745362, RESELLER
freewheel.tv, 745378, RESELLER
spotxchange.com, 230037, RESELLER, 7842df1d2fe2db34
spotx.tv, 230037, RESELLER, 7842df1d2fe2db34
tremorhub.com, ewut4-b6zwq, RESELLER, 1a4e959a1b50034a
rubiconproject.com, 20736, RESELLER, 0bfd66d529a55807
#Dailymotion > 27/09/2020
nsightvideo.com,2016313,DIRECT,fd25240165056a01
freewheel.tv,899777,DIRECT
freewheel.tv,982545,DIRECT
freewheel.tv,982529,DIRECT
freewheel.tv,982561,DIRECT
freewheel.tv,982577,DIRECT
freewheel.tv,982497,DIRECT
freewheel.tv,982513,DIRECT
freewheel.tv,982641,DIRECT
freewheel.tv,982625,DIRECT
freewheel.tv,982657,DIRECT
freewheel.tv,982673,DIRECT
freewheel.tv,982593,DIRECT
freewheel.tv,982609,DIRECT
freewheel.tv,981873,DIRECT
springserve.com,843,RESELLER,a24eb641fc82e93d
contextweb.com,561910,RESELLER,89ff185a4c4e857c
ssp.ynxs.io,185,RESELLER
rhythmone.com,2968119028,RESELLER,a670c89d4a324e47
advertising.com,26282,RESELLER
beachfront.com,4969,RESELLER,e2541279e8e2ca4d
pubmatic.com,157310,RESELLER,5d62403b186f2ace
spotxchange.com,239904,RESELLER,7842df1d2fe2db34
spotx.tv,239904,RESELLER,7842df1d2fe2db34
openx.com,540454059,RESELLER,6a698e2ec38604c6
openx.com,540634628,DIRECT,6a698e2ec38604c6
districtm.io,101856,RESELLER,3fd707be9c4527c3
appnexus.com,1908,RESELLER,f5ab79cb980f11d1
undertone.com,3817,DIRECT
appnexus.com,2234,RESELLER
openx.com,537153564,RESELLER,6a698e2ec38604c6
rubiconproject.com,8769,DIRECT,0bfd66d529a55807
appnexus.com,1538591,RESELLER
openx.com,540367894,RESELLER,6a698e2ec38604c6
openx.com,540634628,RESELLER,6a698e2ec38604c6
pubmatic.com,157510,RESELLER,5d62403b186f2ace
spotxchange.com,249186,RESELLER,7842df1d2fe2db34
spotx.tv,249186,RESELLER,7842df1d2fe2db34
loopme.com,s-2411,RESELLER,6c8d5f95897a5a3b
appnexus.com,10617,RESELLER
appnexus.com,9393,RESELLER
adtrue.com,3202,RESELLER
google.com,pub-3762254771375579,RESELLER,f08c47fec0942fa0
pubmatic.com,155495,RESELLER,5d62403b186f2ace
appnexus.com,7080,RESELLER,f5ab79cb980f11d1
rubiconproject.com,15478,RESELLER,0bfd66d529a55807
google.com,pub-8388909051722168,RESELLER,f08c47fec0942fa0
google.com,pub-2285546921446373,RESELLER,f08c47fec0942fa0
spotxchange.com,213805,RESELLER,7842df1d2fe2db34
spotx.tv,213805,RESELLER,7842df1d2fe2db34
openx.com,539372716,RESELLER,6a698e2ec38604c6
smartadserver.com,2499,RESELLER
advertising.com,8603,RESELLER
freewheel.tv,799841,RESELLER
freewheel.tv,799921,RESELLER
fyber.com,ddecc38b3799786a1637d5176e204431,RESELLER
adform.com,1411,RESELLER
rhythmone.com,1166984029,RESELLER,a670c89d4a324e47
google.com,pub-4560331049790501,RESELLER,f08c47fec0942fa0
smartadserver.com,886,RESELLER
google.com,pub-3057818873023700,RESELLER
appnexus.com,3741,RESELLER
appnexus.com,3528,RESELLER
appnexus.com,1851,RESELLER
appnexus.com,9242,RESELLER
spotxchange.com,113481,RESELLER,7842df1d2fe2db34
spotx.tv,113481,RESELLER,7842df1d2fe2db34
appnexus.com,8904,RESELLER
pubmatic.com,100531,RESELLER
openx.com,537148817,RESELLER,6a698e2ec38604c6
freewheel.tv,170809,RESELLER
freewheel.tv,175881,RESELLER
google.com,pub-0928917523760106,RESELLER,f08c47fec0942fa0
appnexus.com,2668,RESELLER,f5ab79cb980f11d1
improvedigital.com,755,RESELLER
google.com,pub-5879135606263005,RESELLER
smartclip.net,855,RESELLER
smartclip.net,9098,RESELLER
google.com,pub-8674340505315230,RESELLER,f08c47fec0942fa0
google.com,pub-7197632655386039,RESELLER,f08c47fec0942fa0
yieldlab.net,72723,RESELLER
yieldlab.net,227224,RESELLER
yieldlab.net,506261,RESELLER
admixer.net,10248498-454d-49a4-a789-acb8fe837f59,RESELLER
google.com,pub-0627101520158699,RESELLER,f08c47fec0942fa0
freewheel.tv,2493,RESELLER
freewheel.tv,287842,RESELLER
freewheel.tv,595217,RESELLER
freewheel.tv,595281,RESELLER
freewheel.tv,595681,RESELLER
freewheel.tv,595713,RESELLER
freewheel.tv,287858,RESELLER
freewheel.tv,595233,RESELLER
freewheel.tv,595665,RESELLER
freewheel.tv,595697,RESELLER
freewheel.tv,595729,RESELLER
freewheel.tv,449249,RESELLER
freewheel.tv,449265,RESELLER
